Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
SPY|20210115|267.00C,267,48.94,-14.49%,54.9,55.3,55.69,48.94,unch,29.45%,0,771,Call,197,01/15/21,N/A,0.00%
SPY|20210115|268.00C,268,56.14,-14.17%,54.09,54.49,54.88,7.45,15.30%,29.34%,5,205,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|269.00C,269,60.6,-13.85%,53.29,53.69,54.08,60.6,unch,29.23%,0,570,Call,197,01/15/21,N/A,0.00%
SPY|20210115|270.00C,270,52.23,-13.53%,52.5,52.89,53.29,1.14,2.23%,28.10%,174,5458,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|271.00C,271,52.59,-13.21%,51.71,52.1,52.49,2.98,6.01%,29.75%,6,747,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|272.00C,272,48.68,-12.88%,50.91,51.31,51.7,48.68,unch,28.89%,0,2914,Call,197,01/15/21,N/A,0.00%
SPY|20210115|273.00C,273,52.23,-12.56%,50.13,50.52,50.91,6.36,13.87%,28.78%,1,1481,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|274.00C,274,51.47,-12.24%,49.34,49.73,50.12,51.47,unch,28.66%,3,718,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|275.00C,275,50.71,-11.92%,48.55,48.95,49.34,3.28,6.92%,31.05%,4,4943,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|276.00C,276,47.07,-11.60%,47.77,48.16,48.55,4.64,10.94%,28.41%,2,683,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|277.00C,277,46.45,-11.28%,47,47.39,47.77,3.38,7.85%,28.29%,1,696,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|278.00C,278,46.68,-10.96%,46.22,46.61,47,0.07,0.15%,28.17%,30,313,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|279.00C,279,44.24,-10.64%,45.45,45.84,46.23,44.24,unch,28.05%,0,646,Call,197,01/15/21,N/A,0.00%
SPY|20210115|280.00C,280,45.78,-10.32%,44.69,45.08,45.46,1.78,4.05%,28.89%,25,5540,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|281.00C,281,40.8,-10.00%,43.92,44.31,44.7,2.6,6.81%,27.80%,1,14518,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|282.00C,282,39.17,-9.68%,43.17,43.55,43.93,-5.7,-12.70%,27.67%,22,1293,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|283.00C,283,38.49,-9.36%,42.41,42.8,43.18,-0.66,-1.69%,27.55%,19,699,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|284.00C,284,40.8,-9.04%,41.65,42.04,42.42,2.9,7.65%,27.41%,4,1613,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|285.00C,285,41.7,-8.72%,40.9,41.29,41.67,1.21,2.99%,27.82%,3,5933,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|286.00C,286,40.7,-8.40%,40.16,40.54,40.92,3,7.96%,27.36%,1,1697,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|287.00C,287,40.02,-8.08%,39.41,39.79,40.17,4.62,13.05%,27.30%,7,5652,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|288.00C,288,35.72,-7.76%,38.67,39.05,39.43,35.72,unch,26.88%,8,1358,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|289.00C,289,35.55,-7.44%,37.94,38.32,38.69,-3.82,-9.70%,26.74%,6,854,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|290.00C,290,37.89,-7.12%,37.2,37.58,37.95,1.88,5.22%,26.99%,24,5208,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|291.00C,291,30.64,-6.80%,36.48,36.85,37.22,-4.79,-13.52%,26.46%,26,1245,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|292.00C,292,29.34,-6.48%,35.75,36.12,36.49,-8.66,-22.79%,26.32%,44,1195,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|293.00C,293,31.7,-6.16%,35.03,35.4,35.77,2.81,9.73%,26.18%,2,504,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|294.00C,294,28.06,-5.84%,34.31,34.68,35.05,-4.41,-13.58%,26.03%,35,3206,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|295.00C,295,34.6,-5.52%,33.6,33.97,34.34,4.05,13.26%,26.65%,4,5174,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|296.00C,296,33.39,-5.20%,32.89,33.25,33.62,6.59,24.59%,25.90%,1,1238,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|297.00C,297,28.24,-4.88%,32.19,32.56,32.92,1.66,6.25%,25.60%,44,858,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|298.00C,298,30.08,-4.56%,31.49,31.85,32.21,2.65,9.66%,25.45%,1,974,Call,197,01/15/21,2007/1/20,0.00%
